No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DE,必須スキル
172,15,解析技術,モデル化,統計的評価,★,ROC曲線、AUC(Area under the curve)を用いてモデルの精度を評価できる,,,
173,16,解析技術,モデル化,統計的評価,★,混同行列（正誤分布のクロス表）、Accuracy、Precision、Recall、F値、特異度を理解し、精度を評価できる,,,
174,17,解析技術,モデル化,統計的評価,★,RMSE（Root Mean Square Error）、MAE（Mean Absolute Error）、MAPE（Mean Absolute Percentage Error）、決定係数といった評価尺度を理解し、精度を評価できる,,,◯
175,18,解析技術,モデル化,統計的評価,★★,多値分類において、混同行列（正誤分布のクロス表）のAccuracy、Precision、Recall、F値に関するmacro平均、micro平均、重み付き平均を計算し評価できる,,,
176,19,解析技術,モデル化,統計的評価,★★,不均衡データ（Imbalanced data）に対する分類モデルの評価尺度を、Precision、Recall、F値、PR（Presicion Recall）曲線、マシューズ相関係数などを用いてビジネス課題に合わせて適切に設定できる,＊,,
177,20,解析技術,モデル化,統計的評価,★★,MSE、AUC、F値などは評価データ全体に対する平均的評価であることを理解し、必要に応じて予測値・誤差の可視化、データの部分集合に対する評価などを実施できる,,,◯
178,21,解析技術,モデル化,統計的評価,★★,モデル間で評価指標を比較する際の前提条件を理解している（同一のテストデータを使用、キャリブレーションによるクラス分布の反映、最適な閾値の設定など）,,,
179,22,解析技術,モデル化,統計的評価,★★,予測モデルの出力結果における誤差の分布を理解し、逸脱したデータ点において起きている事象を推察できる,,,
180,23,解析技術,モデル化,統計的評価,★★★,目的（予測・真のモデル推定など）に応じて、適切な損失関数とモデル選択基準（AIC：赤池情報量規準、BIC：ベイズ情報量規準、MDL：最小記述長など）を選択し、モデル評価ができる,,,
181,24,解析技術,モデル化,機械学習,★,機械学習の手法を3つ以上知っており、それぞれの概要と解決できる問題（回帰・分類・クラスター分析など）を説明できる,,,
182,25,解析技術,モデル化,機械学習,★,「教師あり学習」「教師なし学習」の違いを理解している,,,◯
183,26,解析技術,モデル化,機械学習,★,過学習とは何か、それがもたらす問題について説明できる,,,◯
184,27,解析技術,モデル化,機械学習,★,次元の呪いとは何か、その問題について説明できる,,,
185,28,解析技術,モデル化,機械学習,★,教師あり学習におけるアノテーションの必要性を説明できる,＊,,
186,29,解析技術,モデル化,機械学習,★,観測されたデータにバイアスが含まれる場合や、学習した予測モデルが少数派のデータをノイズと認識してしまった場合などに、モデルの出力が差別的な振る舞いをしてしまうリスクを理解している,,,◯
187,30,解析技術,モデル化,機械学習,★,機械学習における大域的(global)な説明（モデル単位の各変数の寄与度など）と局所的(local)な説明（予測するレコード単位の各変数の寄与度など）の違いを理解している,,,
188,31,解析技術,モデル化,機械学習,★,ホールドアウト法、交差検証（クロスバリデーション）法の仕組みを理解し、訓練データ、パラメータチューニング用の検証データ、テストデータを作成できる,,,
189,32,解析技術,モデル化,機械学習,★,機械学習モデルは、データ構成の変化(データドリフト)により学習完了後から精度が劣化していくため、運用時は精度をモニタリングする必要があることを理解している,,,
190,33,解析技術,モデル化,機械学習,★,ニューラルネットワークの基本的な考え方を理解し、入力層、隠れ層、出力層の概要と、活性化関数の重要性を理解している,,,◯
191,34,解析技術,モデル化,機械学習,★,決定木をベースとしたアンサンブル学習（Random Forest、勾配ブースティング[Gradient Boosting Decision Tree：GBDT]、 その派生形であるXGBoost、LightGBMなど）による分析を、ライブラリを使って実行でき、変数の寄与度を正しく解釈できる,,,
192,35,解析技術,モデル化,機械学習,★,連合学習では、データは共有せず、モデルのパラメータを共有して複数のモデルを統合していることを理解している,,,
193,36,解析技術,モデル化,機械学習,★,モデルの性能を改善するためには、モデルの改善よりもデータの質と量を向上させる方が効果的な場合があることを理解している,,＊,◯
194,37,解析技術,モデル化,機械学習,★★,訓練データ、検証データ、テストデータの分割時に、データの性質や目的に応じて、時間情報や地理空間情報、様々な属性を考慮すべきか判断できる,＊,,
195,38,解析技術,モデル化,機械学習,★★,予測モデルにおけるリークとは何か、それがもたらす問題について説明できる,,,
196,39,解析技術,モデル化,機械学習,★★,次元の呪いの影響を受けやすいアルゴリズムを識別し対処するアプローチを実施できる（特徴量選択、次元圧縮、L1/L2正則化など）,,,
197,40,解析技術,モデル化,機械学習,★★,アノテーションにおいて、判断基準の明確化やアノテーターの精度管理を適切に実施することにより、高品質な教師付きデータを効率的に作成できる,＊,,
198,41,解析技術,モデル化,機械学習,★★,決定木の主要な分割基準（ジニ不純度、情報利得など）を理解し、データ特性に応じた適切なアルゴリズムを選択できる,,,
199,42,解析技術,モデル化,機械学習,★★,データに変更を加え予測モデルを故意に誤らせる敵対的サンプル（Adversarial examples）について、代表的な攻撃方法を理解している,,,
200,43,解析技術,モデル化,機械学習,★★,生成モデルと識別モデルの違いやそれぞれのメリットと課題を理解しており、目的に応じて適切に使い分けられる,,,◯
201,44,解析技術,モデル化,機械学習,★★,尤度と変分下限（ELBO）の定義と意味を理解し、生成モデルの学習や評価において適切に使い分けることができる,,,
202,45,解析技術,モデル化,機械学習,★★,不均衡データ（Imbalanced data）がモデルに与える影響を理解し、サンプリングや評価/損失関数のチューニングなどを適切に対処できる,,,
203,46,解析技術,モデル化,機械学習,★★,データの欠損の状況や背景を踏まえて適切なモデルを選定し、目的に応じた欠測補完方法を設計できる,,,
204,47,解析技術,モデル化,機械学習,★★,バイアスとバリアンスの関係について、未学習や過学習の観点から説明できる,,,
205,48,解析技術,モデル化,機械学習,★★,機械学習・AIの公平性の評価指標について説明できる（デモグラフィックパリティ、均等オッズ、予測パリティ、反事実的公平性など）,＊,,
206,49,解析技術,モデル化,機械学習,★★,LIME、SHAPなどExplainable AI（XAI）の手法を用いて、ブラックボックス性の高いモデルの局所的な説明（レコード単位の予測根拠の提示）ができる,,,
207,50,解析技術,モデル化,機械学習,★★,課題やデータに応じて、汎化性能向上のためのデータ拡張（Data Augmentation）を設計・実装できる（画像データの回転・反転、テキストデータの単語入れ替え・置換・削除など）,,,
208,51,解析技術,モデル化,機械学習,★★,連合学習について、水平型と垂直型の違いを理解し、適切に対応方針を決定できる,,,
209,52,解析技術,モデル化,機械学習,★★,低品質なデータ（バイアスや欠落、計測・登録の誤り、混入など）に対するデータクレンジングには限界があり、取得段階での対策が重要であることを理解している,,＊,◯
210,53,解析技術,モデル化,機械学習,★★,Webから収集したデータなど、大量だが不要な情報が多く混在するデータに対し、不必要もしくは不適切なデータをできる限り取り除くことで、データの品質を高めることができる,,＊,
211,54,解析技術,モデル化,機械学習,★★★,データと分析要件から、データ分布やモデル精度のモニタリング設計・実施と、劣化が見込まれるモデルに対するリモデルの設計ができる,,＊,
212,55,解析技術,モデル化,機械学習,★★★,リークの発生の有無を適切に判断し、対応できる（マスタデータが更新されており、本来予測時に使用できない未来の情報を含んでしまうパターン、本来は未知である評価データも含めて標準化するパターンなど）,＊,,
213,56,解析技術,モデル化,機械学習,★★★,最新の研究に基づき敵対的サンプル（Adversarial examples）に対する現実的な対策を検討できる,,,
214,57,解析技術,モデル化,機械学習,★★★,分析要件に応じ、モデリング手法（線形モデル、決定木、サポートベクターマシン、ニューラルネットワーク、アンサンブル学習など）の選択とパラメータ設定、結果の評価、チューニングを適切に設計・実施・指示できる,,,◯
215,58,解析技術,モデル化,機械学習,★★★,複数の機械学習モデルを組み合わせるアンサンブル学習において、各モデルの予測スコアを用いた平均（Averaging）、多数決（Voting）、Stackingなどの手法を理解し、目的に応じて設計・実装できる,,＊,
216,59,解析技術,モデル化,機械学習,★★★,半教師あり学習やアクティブラーニングにより効率的なアノテーションができる,＊,,
217,60,解析技術,モデル化,機械学習,★★★,機械学習等の最新の論文を理解し、必要とあれば自分で実装し評価できる,,＊,
218,61,解析技術,モデル化,機械学習,★★★,分析目的を達成するためにどの水準でデータ品質を確保する必要があるかを判断し、取得段階における品質対策ガイドラインを設計できる,,,
219,62,解析技術,モデル化,深層学習,★,深層学習（ディープラーニング）モデルの活用による主なメリットを理解している（特徴量抽出が可能になるなど）,,,◯
220,63,解析技術,モデル化,深層学習,★,CNN、RNN、Transformerなど主要な深層学習アーキテクチャの特徴と用途を説明できる,,,
221,64,解析技術,モデル化,深層学習,★,データサイエンスやAIの分野におけるモダリティの意味を説明できる（データがどのような形式や方法で得られるか、など）,,,
222,65,解析技術,モデル化,深層学習,★★,バッチ勾配降下法（バッチ学習）、確率的勾配降下法（オンライン学習）、ミニバッチ勾配降下法（ミニバッチ学習）の違いを説明できる,,,
223,66,解析技術,モデル化,深層学習,★★,ドロップアウト、L1/L2正則化などによる過学習の抑制や、バッチ正規化による学習の効率化について理解している,,,
224,67,解析技術,モデル化,深層学習,★★,文字や単語といった質的（離散的）な特徴量をニューラルネットワークで学習する場合、特徴量の各値にベクトルを対応させるEmbedding層が有効であることを理解している,,,
225,68,解析技術,モデル化,深層学習,★★,畳み込みニューラルネットワーク(CNN)、再帰型ニューラルネットワーク（RNN）、長期短期記憶（LSTM）、Transformer（Attention機構）などの深層学習の主要方式の特徴を理解し、目的に応じて適切に選定できる,,,
226,69,解析技術,モデル化,深層学習,★★,転移学習とファインチューニングの基本的な枠組みを理解し、事前学習済みのニューラルネットワークを用いた効率的な学習方法を設計・実装できる,,＊,
227,70,解析技術,モデル化,深層学習,★★,誤差逆伝播法（Backpropagation）における勾配消失、勾配爆発の問題を理解し、適切な活性化関数・重みの初期化方法の選択、Gradient Clippingなどの緩和策を実施できる,,,
228,71,解析技術,モデル化,深層学習,★★,Residual Connection(Skip Connection)が誤差逆伝播法（Backpropagation）における勾配消失問題の緩和策となっていることを理解している,,,
229,72,解析技術,モデル化,深層学習,★★,深層学習における最適化法/Optimizer（SGD、Adam、AdamWなど）や学習率の動的な調整法（Warmup、Cosine Annealingなど）の重要性について理解している,,,
230,73,解析技術,モデル化,深層学習,★★,深層学習モデルにおいて、データ量・パラメータ数・計算量を拡大することで損失がべき乗則（Scaling Law）に従って減少する特性を理解し、モデル規模や学習リソースの設計・改善に活用できる,,,
231,74,解析技術,モデル化,深層学習,★★,主要な深層生成モデル（拡散モデル、変分自己符号化器[Variational AutoEncoder： VAE]、敵対的生成ネットワーク[Generative Adversarial Network：GAN]）やその派生形を理解し、目的に応じて学習・評価できる,,,
232,75,解析技術,モデル化,深層学習,★★★,深層学習モデルの性能・安定性・効率性を最適化するため、層構成やハイパーパラメータを理解し、目的に応じてチューニングできる,,,
233,76,解析技術,モデル化,深層学習,★★★,深層学習モデルの推論時の計算コストを削減する方法（枝刈り、蒸留、量子化など）を設計・実装できる,,,
234,77,解析技術,モデル化,強化学習,★,強化学習の基本概念（マルコフ決定過程（状態、行動、報酬）や方策など）を、特定のタスク（例：ゲーム、ロボット制御）の文脈に当てはめて説明できる,,,
235,78,解析技術,モデル化,強化学習,★,教師あり学習と強化学習の違いを、前提、定義、応用先といった観点で説明できる,,,
236,79,解析技術,モデル化,強化学習,★★,強化学習の基本的な手法を理解し、方策勾配やQ学習などをベースとした学習を実行できる,,,
237,80,解析技術,モデル化,強化学習,★★,模倣学習（Imitation Learning）や逆強化学習（Inverse Reinforcement Learning）といった手法を適用し、熟練者のデモンストレーションデータから暗黙知や複雑な行動パターンを定量的に抽出・学習できる,,,
238,81,解析技術,モデル化,強化学習,★★,オフライン強化学習を用いて、過去のデータセットから世界モデルを構築し、合成データ生成やシミュレーション環境として利用することで安全性を担保した頑健（ロバスト）な方策に改善できる,,,
239,82,解析技術,モデル化,強化学習,★★★,主要な強化学習モデルを理解し、目的に応じて学習・評価できる(Deep Q-network [DQN]、Asynchronous Advantage Actor-Critic[A3C]、Proximal Policy Optimization [PPO]やその派生形など）,,,
240,83,解析技術,モデル化,時系列分析,★,時系列データとは何か、その基礎的な扱いについて説明できる（時系列グラフによる周期性やトレンドの確認、移動平均、回帰や相関計算における注意点など）,＊,,◯
241,84,解析技術,モデル化,時系列分析,★,時系列データの場合は、時間軸で訓練データとテストデータに分割する理由を理解している,,,
242,85,解析技術,モデル化,時系列分析,★,時系列分析を行う際にもつべき視点を理解している（長期トレンド、季節成分、周期性、ノイズ、定常性など）,,,
243,86,解析技術,モデル化,時系列分析,★★,時系列データの時点間での関係を、自己相関やコレログラムを利用して評価ができる,,,
244,87,解析技術,モデル化,時系列分析,★★,時系列データに対し、ライブラリを使用して分析結果を比較し、適切なモデルを選択できる（時系列基盤モデル、ARIMA、SARIMA、VAR、GARCH、Prophet、RNN、Transformerなど）,,,
245,88,解析技術,モデル化,時系列分析,★★,グレンジャー因果などの手法を用い、時系列データにおける変数間の因果関係を把握できる,,,
246,89,解析技術,モデル化,時系列分析,★★,高速フーリエ変換（Fast Fourier Transform: FFT）などを用いてピリオドグラムの計算量を抑制できる,,,
247,90,解析技術,モデル化,時系列分析,★★,時系列データにおける欠測値の補完を、統計的手法（線形補間、移動平均）や状態空間モデル（カルマンフィルタ、HMM）を用いて適切に実行できる,,,
248,91,解析技術,モデル化,時系列分析,★★★,非線形・非ガウス型状態空間モデルにおいて、モンテカルロ・フィルタを用いて、複雑な時系列システムの予測モデルを構築できる,,,
249,92,解析技術,モデル化,クラスタリング,★,教師なし学習のグループ化（クラスター分析）と教師あり学習の分類（判別）モデルの違いを説明できる,,,
250,93,解析技術,モデル化,クラスタリング,★,階層クラスタリングと非階層クラスタリングの違い、ソフトクラスタリングとハードクラスタリングの違いを説明できる,,,
251,94,解析技術,モデル化,クラスタリング,★,階層クラスター分析において、デンドログラムの見方を理解し、適切に解釈できる,＊,,
252,95,解析技術,モデル化,クラスタリング,★★,非階層クラスター分析において、分析対象となるデータの特性や分析目的に応じ、適切なクラスター数の決定とクラスターの解釈ができる,,,◯
253,96,解析技術,モデル化,クラスタリング,★★,階層クラスター分析における代表的なクラスター間距離（Ward法、群平均法、最長一致法など）の概念を理解し、目的に合致した最適な手法で分析できる,,,
254,97,解析技術,モデル化,クラスタリング,★★,クラスター分析を実行する際、各種距離（ユークリッド距離、マンハッタン距離、マハラノビス距離など）や非類似度（1-cos類似度のような距離の公理を満たさない指標など）を理解し、分析目的に合致した最適な手法で分析できる,＊,,
255,98,解析技術,モデル化,クラスタリング,★★,k-means法などの初期値依存性を持つ手法において、クラスタ構造の安定性を評価し、適切な初期値設定・多重実行・評価指標を選択できる,,,
256,99,解析技術,モデル化,クラスタリング,★★,k-meansやその派生方法、カーネルk-means、スペクトラルクラスタリングなどの違いを理解し、試行の中で最適な手法を選択・実行できる,,,
257,100,解析技術,モデル化,クラスタリング,★★,BERTopicに代表される深層学習ベースのクラスタリングを実施できる,,,
258,101,解析技術,モデル化,クラスタリング,★★★,自己組織化マップ（SOM）、Affinity Propagation、混合分布モデル、ディリクレ過程混合モデルなどを理解し、試行の中で最適な手法を選択できる,,,
259,102,解析技術,モデル化,グラフィカルモデル,★★,グラフィカルモデルを用いて、確率変数間の関係性をグラフ表現できる,,,
260,103,解析技術,モデル化,グラフィカルモデル,★★,重回帰分析とパス解析の違いを理解し、使い分けることができる,,,
261,104,解析技術,モデル化,グラフィカルモデル,★★,LINGAMやベイジアンネットワークを用いて因果探索ができる,,,
262,105,解析技術,モデル化,グラフィカルモデル,★★,共分散構造分析（構造方程式モデリング：SEM）を行い、観測変数・潜在変数の因果関係を説明できる,,,
263,106,解析技術,モデル化,ネットワーク分析,★,ネットワーク分析におけるグラフの基本概念（有向・無向グラフ、エッジ、ノード等）を理解している。,,,
264,107,解析技術,モデル化,ネットワーク分析,★★,ネットワーク分析におけるノードの影響力、仲介性、接続性などを測る中心性指標（近接中心性、ページランクなど） やグラフ理論を用いた基本的なアルゴリズム（最短経路問題等）を理解し、与えられた問題を解くことができる,,,
265,108,解析技術,モデル化,ネットワーク分析,★★,ナレッジグラフとは何か、そしてどのように情報を表現しているか（主語、述語、目的語とエッジ、ノードの対応関係など）を理解し、その応用について一例を挙げて説明できる（検索エンジン、レコメンドなど）,,,
266,109,解析技術,モデル化,ネットワーク分析,★★★,ネットワーク分析が問題の解決に有効な状況を見極め、現実の問題をグラフを用いたデータ分析の問題に落とし込むことができる。,,,
267,110,解析技術,モデル化,ネットワーク分析,★★★,グラフ深層学習（Graphical Convolution Networks：GCNなど）の入出力（特徴量行列、隣接行列など）とタスク（ノード予測、リンク予測など）を理解し、適切な手法で課題を解決できる,,,
268,1,解析技術,モデル利活用,異常検知,★★,手元のデータの多寡やデータの再現性をふまえ、教師あり異常検知と教師なし異常検知の違いを適切に使い分けることができる,＊,,
269,2,解析技術,モデル利活用,異常検知,★★,統計・分布ベース（One-class SVM、Isolation Forest）、距離・密度ベース（KNN、Local Outlier Factor）、再構築ベース（Auto Encoder）を含む異常検知アルゴリズムの原理と適用分野を理解し、対象のデータの特性（時系列、高次元、構造データなど）に応じて適切な手法を選定・実装・評価できる,,,
270,3,解析技術,モデル利活用,レコメンド,★,レコメンドアルゴリズムにおけるコンテンツベースフィルタリングと協調フィルタリングの違いを説明できる,,,
271,4,解析技術,モデル利活用,レコメンド,★★,分析要件から適切なレコメンドアルゴリズム（ItemKNN、BRP、item2vec、LightGCN、RecVAEなど）を選定し実装できる,,,
272,5,解析技術,モデル利活用,レコメンド,★★,精度指標（HR@k、NDCG@k、MRR 等）や多様性指標（カタログカバレッジ、セレンディピティ、ノベルティ 等）を推薦モデルの用途に合わせて選択し、評価できる,,,
273,6,解析技術,モデル利活用,レコメンド,★★★,行動履歴に加え、アイテム属性、ユーザ属性、時間変化などの情報を用いて、目的に応じた推薦アルゴリズム（DeepFM、Wide & Deep、SASRec、BERT4Rec、LightGCN など）を実装・評価できる,,,
274,1,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★,離散型・連続型シミュレーションについて、説明できる（モンテカルロ、ヒストリカル、Agentベースなど）,,,
275,2,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★,マルコフ連鎖の特徴を理解し、MCMC（マルコフ連鎖モンテカルロ法）シミュレーションをライブラリを用いて実装できる,,,
276,3,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★★,データ同化の概念を理解し、実行できる（データを用いてシミュレーション内の不確実性を減少させる計算技法など）,,,
277,4,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★★,シミュレーションにおける問題を理解し、対処を考えることができる（初期条件・境界条件・パラメータの不確実性、データ分布の不均一性、実験計画の最適性など）,,,
278,5,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★★,MCMC（マルコフ連鎖モンテカルロ法）における各種アルゴリズム（メトロポリス-ヘイスティングス法、ギブスサンプラー、ハミルトニアン・モンテカルロ法など）について理解し、活用できる,,,
279,6,解析技術,オペレーションズリサーチ,最適化,★★,複数のA/Bテスト、スプリットテストの統計的結果を踏まえ、デザイン等の最適化を実施できる,＊,,
280,7,解析技術,オペレーションズリサーチ,最適化,★★,一定の制約下で最適解の識別と報酬の最大化がともに求められ、かつ報酬分布が時間経過で変化するような問題に対して、多腕バンディットアルゴリズムを適用・実装できる,,,
281,8,解析技術,オペレーションズリサーチ,最適化,★★,線形計画法について理解し、その解法(単体法や内点法など)について説明できる,,,
282,9,解析技術,オペレーションズリサーチ,最適化,★★,凸関数および、凸計画問題における双対問題やKKT(Karush-Kuhn-Tucker)条件を説明できる,,,
283,10,解析技術,オペレーションズリサーチ,最適化,★★,連続最適化問題（制約なし）において、使用可能なアルゴリズムを説明できる（ニュートン法、最急降下法など）,,,
284,11,解析技術,オペレーションズリサーチ,最適化,★★,連続最適化問題（制約あり）において、使用可能なアルゴリズムを説明できる（ラグランジュ未定乗数法、内点法、逐次2次計画法など）,,,
285,12,解析技術,オペレーションズリサーチ,最適化,★★,組み合わせ最適化問題において、代表的な解法の概念を説明できる（厳密解法（分枝限定法、動的計画法、切除平面法）、近似解法（局所探索、貪欲法など）、メタヒューリスティック解法（遺伝的アルゴリズム、タブーサーチなど））,,,
286,13,解析技術,オペレーションズリサーチ,最適化,★★★,ビジネス課題にあわせて、変数や制約を洗い出し、単目的・多目的や線形・非線形を問わず、最適化モデリングができる,＊,,
287,14,解析技術,オペレーションズリサーチ,最適化,★★★,代表的な最適化問題に関して、モデリングを行い、ソルバーを使い、最適化できる（ナップザック問題、ネットワークフロー問題、巡回路問題など）,,,
288,1,非構造化データ処理,非構造化データ処理,自然言語処理,★,テキストデータに対する代表的なクリーニング処理（小文字化、数値置換、半角変換、記号除去、ステミングなど）を目的に応じて適切に実施できる,,＊,
289,2,非構造化データ処理,非構造化データ処理,自然言語処理,★,形態素解析や係り受け解析のライブラリを適切に使い、基本的な文書構造解析を行うことができる,,,
290,3,非構造化データ処理,非構造化データ処理,自然言語処理,★,自然言語処理を用いて解けるタスクを理解し、各タスクの入出力を説明できる（GLUEタスクや固有表現抽出、機械翻訳など）,,,
291,4,非構造化データ処理,非構造化データ処理,自然言語処理,★★,Unigram language modelやBPE（Byte Pair Encoding）によるサブワード分割手法を理解しており、適切に実施できる,,,
292,5,非構造化データ処理,非構造化データ処理,自然言語処理,★★,使用メモリの削減やモデルの精度向上のため、名寄せやユーザ定義辞書の作成、ストップワードの除去・置換を実施できる,,,
293,6,非構造化データ処理,非構造化データ処理,自然言語処理,★★,Word2Vec（Skip-gram、CBoW）やTransformerなどを用いて単語・文書を数値ベクトル化し、TF-IDFやcos類似度などの指標で文書間の類似度を計算できる,,,
294,7,非構造化データ処理,非構造化データ処理,自然言語処理,★★,"再帰型ニューラルネットワーク(RNN), 長期短期記憶(LSTM)に加え、GPT（Generative Pre-Trained transformer）、BERT（Bidirectional Encoder Representations from Transformer）などのニューラル言語モデルを理解し、使いこなせる",,,
295,8,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,形態素解析・構文解析・固有表現抽出のアルゴリズムを理解し、使いこなせる,,,
296,9,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,N-gram言語モデルの構築方法と代表的なスムージングアルゴリズムを理解し、使いこなせる,,,
297,10,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,索引型の全文検索の仕組み（転置インデックス、スコアリング、関連性フィードバック、Embedding Index）を理解し、適切に使いこなせる,,＊,
298,11,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,主要なトピックモデル（確率的潜在意味解析[pLSA]、潜在的ディリクレ配分法[LDA]）の仕組みを理解し、使いこなせる,,,
299,12,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,データの特性に合わせ、適切な言語処理アルゴリズムを選択し、誤り分析、辞書作成などを行い、成果を最大化できる,,,
300,13,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,Transformerや隠れマルコフモデル（Hidden Markov Model：HMM）、Conditional Random Fields：CRF）などを用いた系列ラベリング手法を理解し、使いこなせる,,,
301,14,非構造化データ処理,非構造化データ処理,画像認識,★,画像のデジタル表現の仕組みと代表的な画像フォーマットを知っている,,,
302,15,非構造化データ処理,非構造化データ処理,画像認識,★,画像に対して、目的に応じた適切な色変換や簡単なフィルタ処理などを行うことができる,,＊,
303,16,非構造化データ処理,非構造化データ処理,画像認識,★,画像データに対する代表的なクリーニング処理（リサイズ、パディング、正規化など）を目的に応じて適切に実施できる,,＊,
304,17,非構造化データ処理,非構造化データ処理,画像認識,★,画像認識を用いて解けるタスクを理解し、入出力とともに説明できる（識別、物体検出、セグメンテーションなどの基本的タスクや、姿勢推定、自動運転などの応用的タスク）,,,
305,18,非構造化データ処理,非構造化データ処理,画像認識,★★,画像の処理や解析において、効果的なパターン検出や画像特徴抽出などを既存手法から選ぶことができる,,＊,
306,19,非構造化データ処理,非構造化データ処理,画像認識,★★,代表的な画像認識モデルを理解し使いこなせる（ResNet、EfficientNet、Vision Transformer (ViT)、Swin Transformer）,,,
307,20,非構造化データ処理,非構造化データ処理,画像認識,★★,画像と言語の対照学習について理解し、学習済みのモデル（CLIPなど）を用いてゼロショット分類や画像–テキスト検索の仕組みを設計し実装できる,,,
308,21,非構造化データ処理,非構造化データ処理,画像認識,★★,ライブラリ、学習済みモデルなどを用いて識別・物体検出・セマンティックセグメンテーションなどの画像処理を実装・評価できる,,,
309,22,非構造化データ処理,非構造化データ処理,画像認識,★★★,画像・動画処理を行う環境（モバイル上での処理など実行に制約を伴う環境）と処理パフォーマンスを考慮し、適切な手法の選択とモデルの構築ができる,,＊,
310,23,非構造化データ処理,非構造化データ処理,画像認識,★★★,画像を元にした被写体の3次元構造の推定や新視点画像生成など、画像で表現された3次元の物体のデータを扱うことができる。（NeRF、3D Gaussian Splattingなど）,,,
311,24,非構造化データ処理,非構造化データ処理,動画認識,★,動画のデジタル表現の仕組みと代表的な動画フォーマットを理解しており、動画から画像を抽出する既存方法を使うことができる,,,
312,25,非構造化データ処理,非構造化データ処理,動画認識,★★,物体が動いている方向・速度を、適切なオプティカルフローの手法（Horn–Schunck法、RAFT、GMFlowなど）を選択した上で動画から推定し、トラッキングできる,,,
313,26,非構造化データ処理,非構造化データ処理,動画認識,★★,動画認識のモデル（3D-CNN、時空間Transfomerなど）の特徴や学習済みの基盤モデル（VideoMAE、TimeSformer、ViViT など）の活用方法を理解し、映像認識の目的やタスクに応じて選定できる,,,
314,27,非構造化データ処理,非構造化データ処理,動画認識,★★,"動画中の動作・イベント認識において入力情報の設計やセグメンテーション、イベントの検出の処理を適切なモデル（ResNet, C3D, ViT, TimesFormerなど）を選択して実装できる",,,
315,28,非構造化データ処理,非構造化データ処理,動画認識,★★,キーポイントの検出や座標表現、時系列の推定精度の安定性などの基本概念や手法を理解し、2次元または3次元の姿勢推定の仕組みの実装や推定精度の評価を実行できる,,,
316,29,非構造化データ処理,非構造化データ処理,動画認識,★★★,動画の解析手法の現況について理解し、専門家とともに実装を検討できる（Kernel Temporal Segmentation[KTS]による動画の映像区間切り分け、動画内の重要度推定によるハイライト作成など）,,,
317,30,非構造化データ処理,非構造化データ処理,音声認識,★,wavやmp3などの代表的な音声フォーマットの特徴や用途、基本的な変換処理について説明できる（サンプリングレート、符号化、量子化など）,,,
318,31,非構造化データ処理,非構造化データ処理,音声認識,★★,音声データから、分析目的にあった波形データの抽出やノイズの除去ができる,,＊,
319,32,非構造化データ処理,非構造化データ処理,音声認識,★★,音声認識や本人認証、感情分析などの代表的な音声処理分野について理解し、用いられる分析手法を説明できる,,,
320,33,非構造化データ処理,非構造化データ処理,音声認識,★★★,短時間フーリエ分析、メルフィルタバンク処理、ケプストラム分析、LPC（線形予測分析）などの代表的な音声信号分析手法を理解し、使いこなすことができる,,,
321,34,非構造化データ処理,非構造化データ処理,音声認識,★★★,音声認識、音声合成、認証・感情分析などの目的に合わせて、パラメータ調整や手法変更、言語モデル・音響モデルなどを差し替え、モデル構築・精度評価ができる,,,
322,35,非構造化データ処理,非構造化データ処理,音声認識,★★★,大規模音声データの学習済みモデル（Wav2Vec 2.0、HuBERT、Whisperなど）を目的に応じて適切に選択し、少数ラベルデータや高雑音などの実装環境に応じたモデルの調整や評価設計を実施できる,,,
323,36,非構造化データ処理,非構造化データ処理,音声認識,★★★,音声と映像・テキストを統合するマルチモーダルモデル（AVSR、多言語音声基盤、音声LLM等）を設計・実装し、高雑音下や妨害話者・業務固有語彙など複雑な文脈での認識精度の改善を実行できる,,,
324,1,AI活用,生成,大規模言語モデル,★,大規模言語モデル（LLM）でHallucinationが起こる理由を学習に使われているデータの観点から説明できる（学習用データが誤りや歪みを含んでいる場合や、入力された問いに対応する学習用データが存在しない場合など）,,,
325,2,AI活用,生成,大規模言語モデル,★★,大規模言語モデル（LLM）を活用することが、独自に言語処理を開発することに対してメリットがある状況を、訓練データの収集コストや目的の汎用性、訓練に必要なコンピューターリソース（GPUやTPU）などの観点から説明できる,,＊,
326,3,AI活用,生成,大規模言語モデル,★★,目的特化型のモデルと基盤モデルの違いについて汎用性や学習方法（データ量や教師データの有無など）の観点から理解し、目的に合わせて使い分けの判断ができる,,,
