"NO","SubNo","スキルカテゴリ","サブカテゴリ","スキルレベル","チェック項目","BZ","DE","必須スキル"
198,55,"学習","機械学習","★★★","機械学習等の最新の論文を理解し、必要とあれば自分で実装し評価できる","","＊",""
201,63,"学習","深層学習","★","深層学習（ディープラーニング）モデルの活用による主なメリットを理解している（特徴量抽出が可能になるなど）","","","◯"
203,64,"学習","深層学習","★★","バッチ勾配降下法（バッチ学習）、確率的勾配降下法（オンライン学習）、ミニバッチ勾配降下法（ミニバッチ学習）の違いを説明できる","","",""
204,65,"学習","深層学習","★★","ドロップアウト、L1/L2正則化などによる過学習の抑制や、バッチ正規化による学習の効率化について理解している","","",""
205,66,"学習","深層学習","★★","文字や単語といった質的（離散的）な特徴量をニューラルネットワークで学習する場合、特徴量の各値にベクトルを対応させるEmbeddingが有効であることを理解している","","",""
206,67,"学習","深層学習","★★","畳み込みニューラルネットワーク(CNN)、再帰型ニューラルネットワーク（RNN）、長期短期記憶（LSTM）、Transformerなどの深層学習の主要方式の特徴を理解し、目的に応じて適切に選定できる","","",""
207,68,"学習","深層学習","★★","ニューラルネットワークにおいてAttention機構の特徴を理解し、各ベクトルの重みを算出できる","","",""
208,69,"学習","深層学習","★★","転移学習とファインチューニングの基本的な枠組みを理解し、事前学習済みのニューラルネットワークを用いた効率的な学習方法を設計・実装できる","","＊",""
209,70,"学習","深層学習","★★","誤差逆伝播法（Backpropagation）における勾配消失、勾配爆発の問題を理解し、適切な活性化関数・重みの初期化方法の選択、Gradient Clippingなどの緩和策を実施できる","","",""
210,71,"学習","深層学習","★★","Residual Connection(Skip Connection)が誤差逆伝播法（Backpropagation）における勾配消失問題の緩和策となっていることを理解している","","",""
211,72,"学習","深層学習","★★","深層学習における最適化法/Optimizer（SGD、Momentum、RMSProp、Adamなど）や学習率の動的な調整法（Cyclical Learning Rateなど）の重要性について理解している","","",""
212,75,"学習","深層学習","★★","主要な深層生成モデル（変分自己符号化器[Variational AutoEncoder： VAE]、敵対的生成ネットワーク[Generative Adversarial Network：GAN]）やその派生形を理解し、目的に応じて学習・評価できる","","",""
214,73,"学習","深層学習","★★★","深層学習の実装において、予想精度を向上するため、層の種類（全結合、畳み込み、プールなど）、層数、ニューロン数、活性化関数、学習率、学習回数などをチューニングできる","","",""
215,74,"学習","深層学習","★★★","深層学習モデルの推論時の計算コストを削減する方法（枝刈り、蒸留、量子化など）を設計・実装できる","","",""
217,79,"学習","強化学習","★★","状態と行動、報酬による強化学習の基本概念を理解し、モンテカルロ法やQ学習などを実行できる","","",""
218,80,"学習","強化学習","★★★","主要な強化学習モデルを理解し、目的に応じて学習・評価できる(Deep Q-network [DQN]、Asynchronous Advantage Actor-Critic[A3C]、Proximal Policy Optimization [PPO]やその派生形など）","","",""
219,81,"時系列分析","時系列分析","★","時系列分析を行う際にもつべき視点を理解している（長期トレンド、季節成分、周期性、ノイズ、定常性など）","","",""
220,82,"時系列分析","時系列分析","★★","時系列データの時点間での関係を、自己相関やコレログラムを利用して評価ができる","","",""
221,83,"時系列分析","時系列分析","★★","時系列データに対し、ライブラリを使用して、分析結果の比較を行い、適切なモデルを選択できる（自己回帰モデル[AR]、移動平均モデル[MA]、ARIMA、SARIMA、VAR、GARCH、Prophet、指数平滑法など）","","",""
222,84,"時系列分析","時系列分析","★★","グレンジャー因果などの手法を用い、時系列データにおける変数間の因果関係を把握できる","","",""
223,85,"時系列分析","時系列分析","★★","高速フーリエ変換（Fast Fourier Transform: FFT）などを用いてピリオドグラムの計算量を抑制できる","","",""
224,86,"時系列分析","時系列分析","★★","時系列データにおいて、前埋め/線形補完/移動平均などの手法を用い欠測値の補完を行うことができる","","",""
225,87,"時系列分析","時系列分析","★★★","状態空間モデルにおいて、カルマンフィルタを用いた欠測値の補完や予測モデルの構築ができる","","",""
226,88,"時系列分析","時系列分析","★★★","非線形・非ガウス型状態空間モデルにおいて、モンテカルロ・フィルタを用いて、複雑な時系列システムの予測モデルを構築できる","","",""
227,89,"グルーピング","グルーピング","★","教師なし学習のグループ化（クラスター分析）と教師あり学習の分類（判別）モデルの違いを説明できる","","",""
228,90,"グルーピング","グルーピング","★","階層クラスター分析と非階層クラスター分析の違いを説明できる","","",""
229,91,"グルーピング","グルーピング","★","階層クラスター分析において、デンドログラムの見方を理解し、適切に解釈できる","＊","",""
230,92,"グルーピング","グルーピング","★★","非階層クラスター分析において、分析対象となるデータの特性や分析目的に応じ、適切なクラスター数を決定できる","","","◯"
231,93,"グルーピング","グルーピング","★★","階層クラスター分析における代表的なクラスター間距離（Ward法、群平均法、最長一致法など）の概念を理解し、目的に合致した最適な手法で分析できる","","",""
232,94,"グルーピング","グルーピング","★★","クラスター分析を実行する際、各種距離関数（ユークリッド距離、マンハッタン距離、マハラノビス距離など）を理解し、分析目的に合致した最適な距離計算で分析できる","＊","",""
233,95,"グルーピング","グルーピング","★★","k-means法で得られる分析結果は局所最適解であるため初期値問題があることを理解し、適切な初期値を選択できる","","",""
234,96,"グルーピング","グルーピング","★★","k-meansやその派生方法、カーネルk-means、スペクトラルクラスタリングなどの違いを理解し、試行の中で最適な手法を選択・実行できる","","",""
235,97,"グルーピング","グルーピング","★★★","自己組織化マップ（SOM）、Affinity Propagation、混合分布モデル、ディリクレ過程混合モデルなどを理解し、試行の中で最適な手法を選択できる","","",""
236,98,"性質・関係性の把握","グラフィカルモデル","★★","グラフィカルモデルを用いて、確率変数間の関係性をグラフ表現できる","","",""
237,99,"性質・関係性の把握","グラフィカルモデル","★★","重回帰分析とパス解析の違いを説明できる","","",""
238,100,"性質・関係性の把握","グラフィカルモデル","★★","ベイジアンネットワーク分析結果から目的事象の事後確率を算出できる","","",""
239,101,"性質・関係性の把握","グラフィカルモデル","★★","共分散構造分析（構造方程式モデリング：SEM）を行い、観測変数・潜在変数の因果関係を説明できる","","",""
245,1,"グルーピング","異常検知","★★","手元のデータの多寡やデータの再現性をふまえ、教師あり異常検知と教師なし異常検知の違いを適切に使い分けることができる","＊","",""
246,2,"グルーピング","異常検知","★★","Local Outlier Factor（LOF）、オートエンコーダ、One-class SVM（Support Vector Machine）、マハラノビス距離などを用いた異常検知の手法を理解し、試行の中で最適な手法を選択・実行できる","","",""
248,4,"パターン発見","パターン発見","★★","分析要件から適切なレコメンドアルゴリズム（協調フィルタリング、コンテンツベースフィルタリング、Factrization Machineなど）を選定できる","","",""
249,5,"パターン発見","パターン発見","★★★","行動履歴に加え、アイテム属性、ユーザ属性、時間変化などの情報を用いて、目的に応じた推薦アルゴリズムを実装・評価できる","","",""
250,1,"自然言語処理","自然言語処理","★","テキストデータに対する代表的なクリーニング処理（小文字化、数値置換、半角変換、記号除去、ステミングなど）を目的に応じて適切に実施できる","","＊",""
251,2,"自然言語処理","自然言語処理","★","形態素解析や係り受け解析のライブラリを適切に使い、基本的な文書構造解析を行うことができる","","",""
252,3,"自然言語処理","自然言語処理","★","自然言語処理を用いて解けるタスクを理解し、各タスクの入出力を説明できる（GLUEタスクや固有表現抽出、機械翻訳など）","","",""
253,4,"自然言語処理","自然言語処理","★★","Unigram laguage modelやBPE（Byte Pair Encoding）によるサブワード分割手法を理解しており、必要に応じて適切に実施できる","","",""
254,5,"自然言語処理","自然言語処理","★★","使用メモリの削減やモデルの精度向上のため、名寄せやユーザ定義辞書の作成、ストップワードの除去・置換を実施できる","","",""
255,6,"自然言語処理","自然言語処理","★★","Word2Vec（Skip-gram、CBoW）などの分散表現（ベクトル表現）モデルを理解し、使いこなせる","","",""
256,7,"自然言語処理","自然言語処理","★★","TF-IDFやcos類似度などの基本的なアルゴリズムを使い、文書ベクトルの作成や文書間の類似度を計算できる","","",""
257,8,"自然言語処理","自然言語処理","★★★","形態素解析・構文解析・固有表現抽出のアルゴリズムを理解し、使いこなせる","","",""
258,9,"自然言語処理","自然言語処理","★★★","N-gram言語モデルの構築方法と代表的なスムージングアルゴリズムを理解し、使いこなせる","","",""
259,10,"自然言語処理","自然言語処理","★★★","索引型の全文検索の仕組み（転置インデックス、スコアリング、関連性フィードバック）を理解し、使いこなせる","","＊",""
260,12,"自然言語処理","自然言語処理","★★★","主要なトピックモデル（確率的潜在意味解析[pLSA]、潜在的ディリクレ配分法[LDA]）の仕組みを理解し、使いこなせる","","",""
261,13,"自然言語処理","自然言語処理","★★★","データの特性に合わせ、適切な言語処理アルゴリズムを選択し、誤り分析、辞書作成などを行い、成果を最大化できる","","",""
262,14,"自然言語処理","自然言語処理","★★★","再帰型ニューラルネットワーク（RNN）、長期短期記憶（LSTM）、Transformerなどを用いたニューラル言語モデルを理解し、使いこなせる","","",""
263,15,"自然言語処理","自然言語処理","★★★","隠れマルコフモデル（Hidden Markov Model：HMM）、Conditional Random Fields：CRF）などを用いた系列ラベリング手法を理解し、使いこなせる","","",""
264,16,"自然言語処理","自然言語処理","★★★","GPT（Generative Pre-Trained transformer）、BERT（Bidirectional Encoder Representations from Transformer）などのAttentionベースのニューラル言語モデルを理解し、使いこなせる","","",""
265,17,"画像・映像認識","画像認識","★","画像のデジタル表現の仕組みと代表的な画像フォーマットを知っている","","",""
266,18,"画像・映像認識","画像認識","★","画像に対して、目的に応じた適切な色変換や簡単なフィルタ処理などを行うことができる","","＊",""
267,19,"画像・映像認識","画像認識","★","画像データに対する代表的なクリーニング処理（リサイズ、パディング、正規化など）を目的に応じて適切に実施できる","","＊",""
268,20,"画像・映像認識","画像認識","★★","画像認識を用いて解けるタスクを理解し、入出力とともに説明できる（識別、物体検出、セグメンテーションなど）","","",""
269,21,"画像・映像認識","画像認識","★★","画像の処理や解析において、効果的なパターン検出や画像特徴抽出などを既存手法から選ぶことができる","","＊",""
270,22,"画像・映像認識","画像認識","★★","ResNet、EfficientNet、MobileNetなどの代表的な画像認識モデルを理解し使いこなせる","","",""
271,23,"画像・映像認識","画像認識","★★","ライブラリ、学習済みモデルなどを用いて識別・物体検出・セマンティックセグメンテーションなどの画像処理を実装・評価できる","","",""
272,24,"画像・映像認識","画像認識","★★★","画像・動画処理を行う環境（モバイル上での処理など実行に制約を伴う環境）と処理パフォーマンスを考慮し、適切な手法の選択とモデルの構築ができる","","＊",""
274,26,"画像・映像認識","映像認識","★","動画のデジタル表現の仕組みと代表的な動画フォーマットを理解しており、動画から画像を抽出する既存方法を使うことができる","","",""
275,27,"画像・映像認識","映像認識","★★","物体が動いている方向・速度（オプティカルフロー）を動画から推定し、トラッキングできる","","",""
276,28,"画像・映像認識","映像認識","★★★","動画の解析手法の現況について理解し、専門家とともに実装を検討できる（Kernel Temporal Segmentation[KTS]による動画の映像区間切り分け、動画内の重要度推定によるハイライト作成など）","","",""
277,29,"音声認識","音声認識","★","wavやmp3などの代表的な音声フォーマットの特徴や用途、基本的な変換処理について説明できる（サンプリングレート、符号化、量子化など）","","",""
278,30,"音声認識","音声認識","★★","音声データから、分析目的にあった波形データの抽出やノイズの除去ができる","","＊",""
279,31,"音声認識","音声認識","★★","音声認識や本人認証、感情分析などの代表的な音声処理分野について理解し、用いられる分析手法を説明できる","","",""
280,32,"音声認識","音声認識","★★★","短時間フーリエ分析、メルフィルタバンク処理、ケプストラム分析、LPC（線形予測分析）などの代表的な音声信号分析手法を理解し、使いこなすことができる","","",""
281,33,"音声認識","音声認識","★★★","音声認識、音声合成、認証・感情分析などの目的に合わせて、パラメータ調整や手法変更、言語モデル・音響モデルなどを差し替え、モデル構築・精度評価ができる","","",""
296,1,"シミュレーション・データ同化","シミュレーション・データ同化","★★","離散型・連続型シミュレーションについて、説明できる（モンテカルロ、ヒストリカル、Agentベースなど）","","",""
297,2,"シミュレーション・データ同化","シミュレーション・データ同化","★★","マルコフ連鎖の特徴を理解し、MCMC（マルコフ連鎖モンテカルロ法）シミュレーションをライブラリを用いて実装できる","","",""
298,3,"シミュレーション・データ同化","シミュレーション・データ同化","★★★","データ同化の概念を理解し、実行できる（データを用いてシミュレーション内の不確実性を減少させる計算技法など）","","",""
299,4,"シミュレーション・データ同化","シミュレーション・データ同化","★★★","シミュレーションにおける問題を理解し、対処を考えることができる（初期条件・境界条件・パラメータの不確実性、データ分布の不均一性、実験計画の最適性など）","","",""
300,5,"シミュレーション・データ同化","シミュレーション・データ同化","★★★","MCMC（マルコフ連鎖モンテカルロ法）における各種アルゴリズム（メトロポリス-ヘイスティングス法、ギブスサンプラー、ハミルトニアン・モンテカルロ法など）について理解し、活用できる","","",""
301,6,"最適化","最適化","★★","複数のA/Bテスト、スプリットテストの統計的結果を踏まえ、デザイン等の最適化を実施できる","＊","",""
302,7,"最適化","最適化","★★","一定の制約下で最適解の識別と報酬の最大化がともに求められ、かつ報酬分布が時間経過で変化するような問題に対して、多腕バンディットアルゴリズムを適用・実装できる","","",""
303,8,"最適化","最適化","★★","線形計画法について説明できる","","",""
304,9,"最適化","最適化","★★","凸関数および、凸計画問題の条件や特徴を説明できる","","",""
305,10,"最適化","最適化","★★","連続最適化問題（制約なし）において、使用可能なアルゴリズムを説明できる（ニュートン法、最急降下法など）","","",""
306,11,"最適化","最適化","★★","連続最適化問題（制約あり）において、使用可能なアルゴリズムを説明できる（ラグランジュ未定乗数法、内点法、逐次2次計画法など）","","",""
307,12,"最適化","最適化","★★","組み合わせ最適化問題において、代表的な解法の概念を説明できる（厳密解法（分枝限定法、動的計画法、切除平面法）、近似解法（局所探索、貪欲法など）、メタヒューリスティック解法（遺伝的アルゴリズム、タブーサーチなど））","","",""
308,13,"最適化","最適化","★★★","ビジネス課題にあわせて、変数、目的関数、制約を定式化し、線形・非線形を問わず、最適化モデリングができる","＊","",""
309,14,"最適化","最適化","★★★","代表的な最適化問題に関して、モデリングを行い、ソルバーを使い、最適化できる（ナップザック問題、ネットワークフロー問題、巡回路問題など）","","",""
99999999,11,"データの理解・検証","統計情報への正しい理解","★","単なるローデータとしての実数だけを見ても判断出来ない事象が大多数であり、母集団に占める割合などの比率的な指標でなければ数字の比較に意味がないことがわかっている","","","◯"
99999999,11,"データの理解・検証","統計情報への正しい理解","★","ニュース記事などで統計情報に接したときに、数字やグラフの持つメッセージを理解できる","＊","","◯"
99999999,20,"データの理解・検証","統計情報への正しい理解","★★","自身の判断に必要となる統計情報を積極的に収集するとともに、表現に惑わされず数字を正当に評価できる（原点が0ではないグラフ、不要な3D化、不要な2軸化、目盛りの未記載など）","＊","",""
99999999,14,"データの理解・検証","統計情報への正しい理解","★★★","数字やデータの検証のために、何と比較するべきかすみやかに把握し、収集・利用できる（業務データや過去に接触した統計情報の想起・活用を含む）","＊","",""
99999999,94,"グルーピング","グルーピング","★★★","距離の公理を満たさない場合（1-cos類似度など）においてもクラスター分析を適切に実行できる","","",""
99999999,23,"学習","機械学習","★","ライブラリを使ってサポートベクターマシンによる分析を実行・評価できる","","",""
99999999,9,"自然言語処理","自然言語処理","★★★","Trie、Suffix Arrayなどの代表的な高速文字列検索アルゴリズムを理解し、使いこなせる","","＊",""
99999999,21,"画像・映像認識","画像認識","★★","画像の処理や解析において、既存のAPI化したクラウドサービスなどを目的に即して、選定・活用できる","","",""
99999999,33,"音声認識","音声認識","★"," 目的に応じ音声認識関連のAPIを選択し、適用できる（Speech to Text など）","","",""
